TIME TABLE FOR Spring 2019 SEMESTER [CS Department] <V1.8>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periods,,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,10,20,30,40,50,60,30
Wednesday,CS-1,Machine Learning (MS-DS),,,,,,,,,Advanced Programming (CS),,,,,,,,,Computational Intelligence (MS),,,,,,,,,Data Sceince (MS),,,,,,,,,Natural Language Processing (MS),,,,,,,,,________________________________,,,,,,,,,Software Process Management and Metrics (MS-SPM),,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,Advance Computer Networks (MS),,,,,,,,,______________________,,,,,,,,,Software Testing (CS-A),,,,,,,,,Human Computer Interaction (CS-F),,,,,,,,,Human Computer Interaction (CS-C),,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,Technical & Business Writing (CS-C),,,,,,,,,Numerical Methods (CS-B),,,,,,,,,Computer Architecture (CS-B),,,,,,,,,Numerical Methods (CS-A),,,,,,,,,Computer Architecture (CS-A),,,,,,,,,Differential Equations (Cal II) (CS-F),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,______________________,,,,,,,,,Object Oriented Programming (CS-F),,,,,,,,,Object Oriented Programming (CS-E),,,,,,,,,Software for Mobile Devices (CS-A),,,,,,,,,________________________________,,,,,,,,,Software for Mobile Devices (CS-B),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,Mass Communication (CS),,,,,,,,,Object Oriented Programming (CS-C),,,,,,,,,Object Oriented Programming (CS-D),,,,,,,,,Comp. Org. & Assembly L. (CS-C),,,,,,,,,________________________________,,,,,,,,,Pakistan Studies (CS-B),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,Applied Physics (CS-H),,,,,,,,,Applied Physics (CS-G),,,,,,,,,Calculus and Ana. Geometry (CS-G),,,,,,,,,Calculus and Ana. Geometry (CS-H),,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,Professional Issues in IT (CS-A),,,,,,,,,Professional Issues in IT (CS-B),,,,,,,,,Comp. Org. & Assembly L. (CS-A),,,,,,,,,Comp. Org. & Assembly L. (CS-B),,,,,,,,,French Language (CS-A),,,,,,,,,French Language (CS-B),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,Numerical Methods (CS-C),,,,,,,,,______________________,,,,,,,,,Design & Analysis of Algorithms (CS-C),,,,,,,,,Design & Analysis of Algorithms (CS-D),,,,,,,,,Sociology (CS-B),,,,,,,,,Sociology (CS-A),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,______________________,,,,,,,,,Database Systems (CS-A),,,,,,,,,Database Systems (CS-B),,,,,,,,,Design & Analysis of Algorithms (CS-E),,,,,,,,,Network Security (CS),,,,,,,,,Database Systems (CS-E),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,Digital Logic Design (CS-B) ,,,,,,,,,Database Systems (CS-C),,,,,,,,,Database Systems (CS-D),,,,,,,,,Fundamental of Computer Vision (CS-B),,,,,,,,,________________________________,,,,,,,,,Fundamental of Computer Vision (CS-A),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
